DISCOVERTIME,COORDX,COORDY,INFOSCNAME
06-7月 -15,-2422.313574,-5047.256422,群租
06-7月 -15,-4138.059527,-5184.247014,群租
05-7月 -15,-3687.863207,-5688.826087,群租
05-7月 -15,-4942.57,-7011.21,群租
03-7月 -15,-3392.640807,-7615.030857,群租
01-7月 -15,-2730.051814,-7483.857417,群租
01-7月 -15,0,0,群租
01-7月 -15,0,0,群租
30-6月 -15,-3063.851622,-7402.012168,群租
30-6月 -15,-3063.851622,-7402.012168,群租
01-7月 -15,-1804.410085,-11294.81976,地锁
29-6月 -15,-2264.54,-6749.92,群租
29-6月 -15,-3954.014823,-5511.312039,群租
29-6月 -15,-2285.76,-8347.26,其它井盖
30-6月 -15,-1456.461445,-2569.162468,暴露垃圾
30-6月 -15,-923.7132845,-3669.279717,群租
26-6月 -15,-5761.208809,-7707.800297,其它井盖
26-6月 -15,-1305.455173,-2292.035748,路面积水、污水冒溢、粪便冒溢
27-6月 -15,-4441.360008,-7887.479977,群租
27-6月 -15,-1931.576581,-4359.871814,群租
25-6月 -15,-1013.461893,-4706.628006,群租
25-6月 -15,-2208.504422,-8038.314665,群租
23-6月 -15,-1320.959845,-4154.509925,群租
21-6月 -15,-4412.73,-6777.11,其它井盖
19-6月 -15,-2091.694694,-5430.844614,路面积水、污水冒溢、粪便冒溢
17-6月 -15,-1298.641701,-4145.524581,群租
15-6月 -15,-2208.504422,-8038.314665,群租
15-6月 -15,-5592.283529,-6288.896455,群租
15-6月 -15,-759.8848683,-3624.500901,群租
13-6月 -15,-5592.283529,-6288.896455,群租
15-6月 -15,-4283.519624,-10547.79281,地锁
14-6月 -15,-1272.395045,-4016.215013,电信井盖
13-6月 -15,-5144.382344,-6111.907783,群租
12-6月 -15,-1344.196197,-3875.523749,交通指示牌
11-6月 -15,-3963.240039,-9369.719722,群租
11-6月 -15,-1013.461893,-4706.628006,群租
10-6月 -15,198856.9991,-12081.3915,其它井盖
09-6月 -15,-2208.51,-8038.32,群租
11-6月 -15,-4461.29572,-6056.770727,群租
09-6月 -15,-759.8848683,-3624.500901,群租
04-6月 -15,-1307.311845,-5011.47751,群租
02-6月 -15,-9130.331734,-14294.29639,群租
03-6月 -15,-1524.999525,-5324.305511,群租
03-6月 -15,-3954.014823,-5511.312039,群租
01-6月 -15,-7228.167274,-6754.697384,群租
01-6月 -15,-2850.116454,-5019.75783,群租
01-6月 -15,-7313.622218,-6606.085416,群租
01-6月 -15,-1307.311845,-5011.47751,群租
01-6月 -15,-5106.330184,-5899.523751,群租
31-5月 -15,-5418.709609,-5899.360103,群租
31-5月 -15,-3459.85,-7162.48,群租
01-6月 -15,-7228.167274,-6754.697384,群租
27-5月 -15,-3572.91,-10933.89,群租
27-5月 -15,-4332.600104,-6710.460264,群租
27-5月 -15,-2039.16,-11722.73,群租
24-5月 -15,-5106.330184,-5899.523751,群租
23-5月 -15,-1307.32,-5011.48,群租
25-5月 -15,-4366.85956,-11264.77992,路面积水、污水冒溢、粪便冒溢
25-5月 -15,-5106.330184,-5899.523751,群租
25-5月 -15,-2208.51,-8038.32,群租
21-5月 -15,-2659.08,-2553.51,暴露垃圾
20-5月 -15,-3541.31,-7527.58,群租
20-5月 -15,-5385.99,-8496.92,群租
21-5月 -15,-2083,-8494,其它井盖
19-5月 -15,0,0,群租
18-5月 -15,-2207.32,-5702.57,群租
19-5月 -15,-3628.32,-5154.18,群租
15-5月 -15,-3333.43,-7529.07,群租
13-5月 -15,-5787,-5903.37,群租
